Date,Channel Name,Total Views,Total Subscribers
2025-02-15,Geo Entertainment,1409097110,3570000
2025-02-15,Geo News,9244804248,17600000
2025-02-15,Samma Entertainment,89061761,166000
2025-02-15,Samma News,6009497854,12300000
2025-02-15,Dawn news,692796237,1880000
2025-02-15,Express News,1534419118,4630000
2025-02-15,Geo Entertainment,1409097110,3570000
2025-02-15,Geo News,9244804248,17600000
2025-02-15,Samma Entertainment,89061761,166000
2025-02-15,Samma News,6009497854,12300000
2025-02-15,Dawn news,692796237,1880000
2025-02-15,Express News,1534419118,4630000
2025-02-16,Geo Entertainment,1409919832,3570000
2025-02-16,Geo News,9249335807,17600000
2025-02-16,Samma Entertainment,89077438,166000
2025-02-16,Samma News,6013758241,12300000
2025-02-16,Dawn news,693546536,1880000
2025-02-16,Express News,1535346794,4630000
2025-02-17,Geo Entertainment,1411099182,3570000
2025-02-17,Geo News,9254027722,17600000
2025-02-17,Samma Entertainment,89091957,166000
2025-02-17,Samma News,6017776715,12300000
2025-02-17,Dawn news,693950091,1880000
2025-02-17,Express News,1536441833,4630000
2025-02-18,Geo Entertainment,1411954803,3570000
2025-02-18,Geo News,9258608678,17700000
2025-02-18,Samma Entertainment,89104507,166000
2025-02-18,Samma News,6021912989,12300000
2025-02-18,Dawn news,694305423,1880000
2025-02-18,Express News,1537726892,4640000
2025-02-19,Geo Entertainment,1412839004,3570000
2025-02-19,Geo News,9263599626,17700000
2025-02-19,Samma Entertainment,89119738,166000
2025-02-19,Samma News,6026456770,12300000
2025-02-19,Dawn news,694743638,1880000
2025-02-19,Express News,1539263120,4640000
2025-02-20,Geo Entertainment,1413444205,3570000
2025-02-20,Geo News,9268865546,17700000
2025-02-20,Samma Entertainment,89136958,166000
2025-02-20,Samma News,6030590511,12300000
2025-02-20,Dawn news,695115526,1890000
2025-02-20,Express News,1540657510,4640000
2025-02-21,Geo Entertainment,1413908707,3580000
2025-02-21,Geo News,9273479474,17700000
2025-02-21,Samma Entertainment,89174163,166000
2025-02-21,Samma News,6033975760,12300000
2025-02-21,Dawn news,695533537,1890000
2025-02-21,Express News,1542108122,4650000
2025-02-22,Geo Entertainment,1414394744,3580000
2025-02-22,Geo News,9278665171,17700000
2025-02-22,Samma Entertainment,89236095,166000
2025-02-22,Samma News,6038376139,12300000
2025-02-22,Dawn news,696156982,1890000
2025-02-22,Express News,1543677972,4650000
2025-02-23,Geo Entertainment,1414896193,3580000
2025-02-23,Geo News,9283464349,17700000
2025-02-23,Samma Entertainment,89279737,166000
2025-02-23,Samma News,6042620994,12300000
2025-02-23,Dawn news,696534832,1890000
2025-02-23,Express News,1545037536,4650000
2025-02-24,Geo Entertainment,1415524626,3580000
2025-02-24,Geo News,9290757827,17700000
2025-02-24,Samma Entertainment,89350524,166000
2025-02-24,Samma News,6047975513,12400000
2025-02-24,Dawn news,696896119,1890000
2025-02-24,Express News,1546279881,4650000
2025-02-25,Geo Entertainment,1416116576,3580000
2025-02-25,Geo News,9295882677,17700000
2025-02-25,Samma Entertainment,89469246,166000
2025-02-25,Samma News,6052174497,12400000
2025-02-25,Dawn news,697258552,1890000
2025-02-25,Express News,1547599954,4660000
2025-02-26,Geo Entertainment,1416807309,3580000
2025-02-26,Geo News,9301061360,17700000
2025-02-26,Samma Entertainment,89543206,166000
2025-02-26,Samma News,6056425387,12400000
2025-02-26,Dawn news,697655669,1890000
2025-02-26,Express News,1548777586,4660000
2025-02-26,ARY News,8760978562,14500000
2025-02-26,ARY Digital,61556631463,61400000
2025-02-26,Duniya News,4850059181,8620000
2025-02-26,Aaj News,430897129,1450000
2025-02-27,Geo Entertainment,1417644412,3590000
2025-02-27,Geo News,9305473557,17700000
2025-02-27,Samma Entertainment,89595780,166000
2025-02-27,Samma News,6060481340,12400000
2025-02-27,Dawn news,697987668,1890000
2025-02-27,Express News,1550049104,4660000
2025-02-27,ARY News,8762786782,14500000
2025-02-27,ARY Digital,61587852829,61400000
2025-02-27,Duniya News,4851554227,8620000
2025-02-27,Aaj News,431432671,1450000
2025-02-27,92 News,1948222443,5650000
2025-02-27,GNN News,1677264040,3460000
2025-02-27,Public News,1145527770,3230000
2025-02-27,24 News hd,3824696030,8560000
2025-02-27,Bol News,3867234095,7730000
2025-02-27,Hum News,453497238,1600000
2025-02-27,Neo news,683541414,2230000
2025-02-28,Geo Entertainment,1418290867,3590000
2025-02-28,Geo News,9311850587,17700000
2025-02-28,Samma Entertainment,89647543,166000
2025-02-28,Samma News,6065879192,12400000
2025-02-28,Dawn news,699701735,1890000
2025-02-28,Express News,1551647803,4660000
2025-02-28,ARY News,8763671078,14500000
2025-02-28,ARY Digital,61621792484,61400000
2025-02-28,Duniya News,4854617249,8630000
2025-02-28,Aaj News,431995385,1450000
2025-02-28,92 News,1948874670,5650000
2025-02-28,GNN News,1677938325,3460000
2025-02-28,Public News,1145733662,3230000
2025-02-28,24 News hd,3825848600,8560000
2025-02-28,Bol News,3868368864,7730000
2025-02-28,Hum News,453771761,1610000
2025-02-28,Neo news,683650961,2230000
2025-03-01,Geo Entertainment,1418789871,3590000
2025-03-01,Geo News,9322507897,17700000
2025-03-01,Samma Entertainment,89672810,166000
2025-03-01,Samma News,6072524004,12400000
2025-03-01,Dawn news,700552021,1890000
2025-03-01,Express News,1554262177,4670000
2025-03-01,ARY News,8768581805,14500000
2025-03-01,ARY Digital,61649127303,61400000
2025-03-01,Duniya News,4860511293,8640000
2025-03-01,Aaj News,432691427,1450000
2025-03-01,92 News,1949612149,5650000
2025-03-01,GNN News,1678709802,3460000
2025-03-01,Public News,1146812096,3240000
2025-03-01,24 News hd,3827040854,8570000
2025-03-01,Bol News,3869442355,7730000
2025-03-01,Hum News,454538698,1610000
2025-03-01,Neo news,683739229,2230000
2025-03-02,Geo Entertainment,1419182140,3590000
2025-03-02,Geo News,9327900344,17700000
2025-03-02,Samma Entertainment,89693728,166000
2025-03-02,Samma News,6076149324,12400000
2025-03-02,Dawn news,701007857,1900000
2025-03-02,Express News,1555548321,4670000
2025-03-02,ARY News,8770797292,14500000
2025-03-02,ARY Digital,61677680652,61500000
2025-03-02,Duniya News,4862131652,8640000
2025-03-02,Aaj News,433165243,1450000
2025-03-02,92 News,1950224167,5660000
2025-03-02,GNN News,1679359949,3460000
2025-03-02,Public News,1147604157,3240000
2025-03-02,24 News hd,3827835515,8570000
2025-03-02,Bol News,3870533427,7740000
2025-03-02,Hum News,454868293,1610000
2025-03-02,Neo news,683809679,2230000
2025-03-03,Geo Entertainment,1419526419,3590000
2025-03-03,Geo News,9332927524,17700000
2025-03-03,Samma Entertainment,89709737,166000
2025-03-03,Samma News,6079714153,12400000
2025-03-03,Dawn news,701312003,1900000
2025-03-03,Express News,1556748875,4670000
2025-03-03,ARY News,8772709425,14500000
2025-03-03,ARY Digital,61704449517,61500000
2025-03-03,Duniya News,4863149828,8640000
2025-03-03,Aaj News,433614069,1450000
2025-03-03,92 News,1950799339,5660000
2025-03-03,GNN News,1680003290,3460000
2025-03-03,Public News,1148107762,3240000
2025-03-03,24 News hd,3828795750,8570000
2025-03-03,Bol News,3871254031,7740000
2025-03-03,Hum News,455140942,1610000
2025-03-03,Neo news,683874321,2230000
2025-03-04,Geo Entertainment,1419936832,3590000
2025-03-04,Geo News,9338131234,17800000
2025-03-04,Samma Entertainment,89731341,166000
2025-03-04,Samma News,6083763736,12400000
2025-03-04,Dawn news,701608834,1900000
2025-03-04,Express News,1557915996,4680000
2025-03-04,ARY News,8774776125,14500000
2025-03-04,ARY Digital,61734885230,61500000
2025-03-04,Duniya News,4864439621,8650000
2025-03-04,Aaj News,434066153,1460000
2025-03-04,92 News,1951487177,5660000
2025-03-04,GNN News,1680745818,3460000
2025-03-04,Public News,1148587434,3240000
2025-03-04,24 News hd,3829588204,8570000
2025-03-04,Bol News,3872477489,7740000
2025-03-04,Hum News,455381969,1610000
2025-03-04,Neo news,683940609,2230000
2025-03-05,Geo Entertainment,1419936832,3590000
2025-03-05,Geo News,9338131234,17800000
2025-03-05,Samma Entertainment,89731341,166000
2025-03-05,Samma News,6083763736,12400000
2025-03-05,Dawn news,701608834,1900000
2025-03-05,Express News,1557915996,4680000
2025-03-05,ARY News,8774776125,14500000
2025-03-05,ARY Digital,61734885230,61500000
2025-03-05,Duniya News,4864439621,8650000
